Variable,OR,CI_lower,CI_upper,p_value
1 chronic condition,1.88,1.77,2.01,2.4999999999999995e-85
2 chronic conditions,2.46,2.26,2.67,8.489999999999997e-104
≥3 chronic conditions,3.14,2.84,3.48,1.8699999999999996e-105
Age 25 to 29,1.45,1.3,1.61,1.28e-11
Age 30 to 34,1.31,1.18,1.46,9.56e-7
Age 35 to 39,1.28,1.14,1.43,1.88e-5
Age 40 to 44,1.18,1.05,1.32,0.00399
Age 45 to 49,1.06,0.94,1.19,0.34
Age 50 to 54,0.88,0.78,0.99,0.0328
Age 55 to 59,0.67,0.6,0.76,1.05e-10
Age 60 to 64,0.54,0.48,0.61,2.7e-23
Age 65 to 69,0.29,0.25,0.33,1.2699999999999998e-64
Age 70 to 74,0.16,0.13,0.2,1.7699999999999997e-77
Age 75 to 79,0.12,0.1,0.15,3.3699999999999995e-81
Age 80 or older,0.1,0.08,0.12,6.979999999999999e-111
sex1,0.82,0.78,0.87,1.66e-12
"Black only, non-Hispanic",1.21,1.11,1.31,9.05e-6
"American Indian or Alaskan Native only, Non-Hispanic",1.31,1.03,1.66,0.0282
"Asian only, non-Hispanic",0.94,0.79,1.13,0.533
"Native Hawaiian or other Pacific Islander only, Non-Hispanic",1.51,1.05,2.18,0.0264
"Other race only, non-Hispanic",1.68,1.33,2.12,1.21e-5
"Multiracial, non-Hispanic",1.38,1.2,1.58,3.5e-6
Hispanic,1.21,1.12,1.3,2.16e-6
Did not graduate High School,1.23,1.11,1.37,8.38e-5
Graduated High School,1.13,1.05,1.22,7.82e-4
Attended College or Technical School,1.31,1.22,1.4,9.1e-15
"Less than $15,000",1.73,1.56,1.92,6.93e-25
"$15,000 to < $25,000",1.77,1.61,1.95,1.85e-32
"$25,000 to < $35,000",1.52,1.4,1.66,1.1700000000000001e-21
"$35,000 to < $50,000",1.37,1.27,1.49,1.59e-14
"$100,000 to < $200,000",0.47,0.43,0.51,1.7299999999999996e-66
"$200,000 or more",0.22,0.18,0.26,6.939999999999999e-70
Uninsured,4.94,4.57,5.34,0
